Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,0,13,10,0,0,0,1,0,1,1,side by side,0,0,0,1,1,0,1,6
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,1,10,8,0,0,0,1,0,1,0,wom 1,0,1,0,1,0,0,0,2
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,2,9,8,0,0,0,1,0,1,1,wom 2,0,1,1,0,1,1,0,4
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,3,11,8,0,0,0,1,0,1,1,wom 3,1,2,0,1,1,1,1,3
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,3,5,4,0,0,0,1,0,1,1,man 1,1,2,0,0,1,0,1,1
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,2,11,9,0,0,0,1,0,1,1,man 2,1,1,0,0,1,1,1,0
0,anchors,0,0,0,0,0,0,1,0,0,0,0,1,35,1,Woman/Female (Cis or Trans),3,Some college but no degree,3,"$100,000+",1,White,2,Beginner,3,2,2,7,0,14,11,0,0,0,1,0,1,0,man 3,0,0,0,1,1,1,0,5
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,2,2,2,1,0,0,0,1,1,4,side by side,2,0,0,0,0,0,0,6
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,3,2,2,1,0,0,0,1,1,3,wom 1,1,1,1,0,0,0,0,4
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,2,4,4,1,0,0,0,1,1,3,wom 2,1,0,1,0,0,0,0,1
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,4,2,2,1,0,0,0,1,1,3,wom 3,0,4,0,0,0,0,0,5
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,3,4,4,1,0,0,0,1,1,2,man 1,1,1,1,0,1,1,1,0
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,5,4,4,1,0,0,0,1,1,3,man 2,1,4,0,0,0,0,0,3
1,anchors,0,0,0,0,0,0,1,0,0,0,0,1,45,0,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",1,White,2,Beginner,4,2,1,7,3,4,4,1,0,0,0,1,1,3,man 3,1,1,1,0,0,0,0,2
2,anchors,0,0,0,0,0,0,1,0,0,0,0,1,33,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",3,Hispanic/Latinx,3,Intermediate,4,4,3,11,2,5,5,0,0,0,0,1,1,3,side by side,2,0,0,0,1,1,0,6
2,anchors,0,0,0,0,0,0,1,0,0,0,0,1,33,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",3,Hispanic/Latinx,3,Intermediate,4,4,3,11,2,8,6,0,0,0,0,1,1,0,wom 1,1,1,0,0,1,1,1,5
