Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,2,6,6,1,0,0,0,1,1,3,side by side,2,0,0,0,1,0,1,6
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,6,7,7,1,0,0,0,1,1,2,wom 1,1,5,0,0,1,0,1,0
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,6,6,6,1,0,0,0,1,1,2,wom 2,1,5,0,0,1,0,1,2
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,6,6,6,1,0,0,0,1,1,2,wom 3,1,5,0,0,1,0,1,4
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,6,6,6,1,0,0,0,1,1,2,man 1,1,5,0,0,1,0,1,1
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,7,6,6,1,0,0,0,1,1,2,man 2,1,5,1,0,1,0,1,5
0,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,31,1,Woman/Female (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",1,White,2,Beginner,5,6,3,14,6,6,6,1,0,0,0,1,1,2,man 3,1,5,0,0,1,0,1,3
1,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,27,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),3,"$100,000+",1,White,2,Beginner,3,1,2,6,2,9,6,1,0,0,0,1,1,3,side by side,2,0,0,1,1,1,0,6
1,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,27,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),3,"$100,000+",1,White,2,Beginner,3,1,2,6,6,6,6,1,0,0,0,1,1,3,wom 1,1,4,1,0,0,0,0,5
1,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,27,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),3,"$100,000+",1,White,2,Beginner,3,1,2,6,7,10,7,1,0,0,0,1,1,0,wom 2,1,5,1,1,1,1,0,3
1,cp_explicit,0,1,0,0,0,0,0,0,0,0,0,0,27,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),3,"$100,000+",1,White,2,Beginner,3,1,2,6,2,7,6,1,0,0,0,1,1,3,wom 3,1,1,0,1,1,1,0,2
