Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,2,6,6,0,0,0,0,1,1,4,side by side,2,0,0,0,0,0,0,6
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,5,6,6,0,0,0,0,1,1,3,wom 1,1,4,0,0,0,0,0,2
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,7,6,6,0,0,0,0,1,1,3,wom 2,1,5,1,0,0,0,0,0
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,7,6,6,0,0,0,0,1,1,3,wom 3,1,5,1,0,0,0,0,1
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,6,6,6,0,0,0,0,1,1,3,man 1,1,4,1,0,0,0,0,3
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,6,6,6,0,0,0,0,1,1,3,man 2,1,5,0,0,0,0,0,5
0,cp,1,0,0,0,0,0,0,0,0,0,0,1,29,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",4,Asian,2,Beginner,4,4,2,10,6,6,6,0,0,0,0,1,1,3,man 3,1,4,1,0,0,0,0,4
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,2,15,12,0,0,0,0,0,0,1,side by side,2,0,0,1,1,0,1,6
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,3,15,12,0,0,0,0,0,0,1,wom 1,1,2,0,1,1,0,1,2
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,4,15,12,0,0,0,0,0,0,1,wom 2,1,2,1,1,1,0,1,4
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,4,11,8,0,0,0,0,0,0,1,wom 3,1,2,1,1,1,0,1,0
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,3,15,12,0,0,0,0,0,0,1,man 1,1,1,1,1,1,0,1,3
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,6,15,12,0,0,0,0,0,0,1,man 2,1,5,0,1,1,0,1,5
1,cp,1,0,0,0,0,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,2,Beginner,5,5,5,15,4,15,12,0,0,0,0,0,0,1,man 3,1,2,1,1,1,0,1,1
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,2,4,4,0,0,1,0,0,1,4,side by side,2,0,0,0,0,0,0,6
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,5,4,4,0,0,1,0,0,1,3,wom 1,1,4,0,0,0,0,0,3
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,4,4,4,0,0,1,0,0,1,3,wom 2,1,3,0,0,0,0,0,1
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,5,4,4,0,0,1,0,0,1,3,wom 3,1,4,0,0,0,0,0,5
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,3,4,4,0,0,1,0,0,1,3,man 1,1,2,0,0,1,1,0,4
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,6,4,4,0,0,1,0,0,1,3,man 2,1,5,0,0,1,1,0,2
2,cp,1,0,0,0,0,0,0,0,0,0,0,1,23,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,2,2,1,5,4,8,8,0,0,1,0,0,1,2,man 3,1,2,1,0,1,1,0,0
3,cp,1,0,0,0,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),1,Less than high school degree,1,"$0 - $49,999",1,White,1,No familiarity,2,2,1,5,2,8,7,0,0,0,0,1,1,3,side by side,2,0,0,0,1,0,1,6
3,cp,1,0,0,0,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),1,Less than high school degree,1,"$0 - $49,999",1,White,1,No familiarity,2,2,1,5,3,7,6,0,0,0,0,1,1,0,wom 1,1,2,0,0,1,0,1,4
3,cp,1,0,0,0,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),1,Less than high school degree,1,"$0 - $49,999",1,White,1,No familiarity,2,2,1,5,3,6,6,0,0,0,0,1,1,1,wom 2,1,2,0,0,1,0,1,5
3,cp,1,0,0,0,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),1,Less than high school degree,1,"$0 - $49,999",1,White,1,No familiarity,2,2,1,5,1,4,3,0,0,0,0,1,1,1,wom 3,1,0,0,0,1,0,1,0
3,cp,1,0,0,0,0,0,0,0,0,0,0,1,25,1,Woman/Female (Cis or Trans),1,Less than high school degree,1,"$0 - $49,999",1,White,1,No familiarity,2,2,1,5,4,8,6,0,0,0,0,1,1,2,man 1,1,3,0,0,1,0,1,2
