Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,1,9,6,0,0,0,0,1,1,3,side by side,1,0,0,1,1,1,0,6
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,4,9,6,0,0,0,0,1,1,2,wom 1,0,4,0,1,1,1,0,1
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,5,8,6,0,0,0,0,1,1,2,wom 2,0,5,0,1,1,1,0,0
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,7,9,6,0,0,0,0,1,1,2,wom 3,1,5,1,1,1,1,0,2
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,5,9,6,0,0,0,0,1,1,2,man 1,0,5,0,1,1,1,0,4
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,7,9,6,0,0,0,0,1,1,2,man 2,1,5,1,1,1,1,0,5
0,eli5,0,0,1,0,0,0,0,0,0,0,0,1,40,0,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,5,15,5,9,6,0,0,0,0,1,1,2,man 3,0,5,0,1,1,1,0,3
1,eli5,0,0,1,0,0,0,0,0,0,0,0,1,20,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,3,Intermediate,4,4,3,11,2,4,4,1,1,1,1,1,1,3,side by side,2,0,0,0,0,0,0,6
1,eli5,0,0,1,0,0,0,0,0,0,0,0,1,20,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,3,Intermediate,4,4,3,11,7,4,4,1,1,1,1,1,1,2,wom 1,1,5,1,0,0,0,0,3
1,eli5,0,0,1,0,0,0,0,0,0,0,0,1,20,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,3,Intermediate,4,4,3,11,7,4,4,1,1,1,1,1,1,2,wom 2,1,5,1,0,0,0,0,2
1,eli5,0,0,1,0,0,0,0,0,0,0,0,1,20,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,3,Intermediate,4,4,3,11,7,4,4,1,1,1,1,1,1,2,wom 3,1,5,1,0,1,1,0,1
1,eli5,0,0,1,0,0,0,0,0,0,0,0,1,20,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,3,Intermediate,4,4,3,11,7,4,4,1,1,1,1,1,1,2,man 1,1,5,1,0,0,0,0,4
