Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,2,2,2,0,0,0,0,1,1,2,side by side,2,0,0,0,0,0,0,6
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,7,2,2,0,0,0,0,1,1,3,wom 1,1,5,1,0,1,1,0,0
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,6,5,4,0,0,0,0,1,1,1,wom 2,1,5,0,1,0,0,0,3
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,7,9,7,0,0,0,0,1,1,0,wom 3,1,5,1,0,1,0,1,2
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,7,2,2,0,0,0,0,1,1,1,man 1,1,5,1,0,1,0,1,1
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,7,10,8,0,0,0,0,1,1,0,man 2,1,5,1,0,1,1,0,5
0,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,19,1,Man/Male (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,3,Intermediate,2,6,3,11,7,8,8,0,0,0,0,1,1,1,man 3,1,5,1,0,1,1,0,4
1,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,36,1,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",4,Asian,3,Intermediate,4,3,5,12,2,8,8,0,0,0,0,1,1,3,side by side,2,0,0,0,0,0,0,6
1,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,36,1,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",4,Asian,3,Intermediate,4,3,5,12,6,11,10,0,0,0,0,1,1,3,wom 1,1,4,1,1,0,0,0,1
1,forceshap,0,0,0,0,0,1,0,0,0,0,0,1,36,1,Woman/Female (Cis or Trans),6,Master's degree,2,"$50,000 - $99,999",4,Asian,3,Intermediate,4,3,5,12,7,8,7,0,0,0,0,1,1,2,wom 2,1,5,1,1,0,0,0,3
