Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,1,3,2,1,0,0,0,1,1,4,side by side,1,0,0,0,1,0,1,6
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,wom 1,1,5,1,0,1,0,1,3
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,wom 2,1,5,1,0,1,0,1,1
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,wom 3,1,5,1,0,1,0,1,0
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,man 1,1,5,1,0,1,0,1,4
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,man 2,1,5,1,0,1,0,1,5
0,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Woman/Female (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",1,White,2,Beginner,5,6,6,17,7,3,2,1,0,0,0,1,1,3,man 3,1,5,1,0,1,0,1,2
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,2,6,6,1,0,0,0,1,1,3,side by side,2,0,0,0,0,0,0,6
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,wom 1,1,5,1,0,1,1,0,5
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,wom 2,1,5,1,0,1,1,0,1
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,wom 3,1,5,1,0,1,1,0,0
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,man 1,1,5,1,0,1,1,0,3
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,man 2,1,5,1,0,1,1,0,2
1,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,28,1,Woman/Female (Cis or Trans),3,Some college but no degree,1,"$0 - $49,999",1,White,2,Beginner,6,6,3,15,7,6,6,1,0,0,0,1,1,2,man 3,1,5,1,0,1,1,0,4
2,interactive_higher_bias_percep,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Man/Male (Cis or Trans),3,Some college but no degree,2,"$50,000 - $99,999",2,Black/African American,2,Beginner,4,5,4,13,2,5,4,0,0,0,0,1,1,4,side by side,2,0,0,1,1,0,1,6
