Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,1,3,3,0,0,0,0,1,1,2,side by side,1,0,0,0,0,0,0,6
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,7,2,2,0,0,0,0,1,1,1,wom 1,1,5,1,0,0,0,0,4
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,5,4,4,0,0,0,0,1,1,2,wom 2,1,4,0,0,0,0,0,0
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,6,2,2,0,0,0,0,1,1,1,wom 3,0,5,1,0,1,1,0,5
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,7,2,2,0,0,0,0,1,1,1,man 1,1,5,1,0,0,0,0,1
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,6,2,2,0,0,0,0,1,1,1,man 2,0,5,1,0,0,0,0,2
0,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,22,1,Woman/Female (Cis or Trans),6,Master's degree,1,"$0 - $49,999",1,White,3,Intermediate,5,5,4,14,5,2,2,0,0,0,0,1,1,1,man 3,1,3,1,0,0,0,0,3
1,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,40,0,Man/Male (Cis or Trans),9,Prefer not to answer,1,"$0 - $49,999",8,Other,2,Beginner,3,3,2,8,1,5,4,1,0,0,0,1,1,3,side by side,1,0,0,0,0,0,0,6
1,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,40,0,Man/Male (Cis or Trans),9,Prefer not to answer,1,"$0 - $49,999",8,Other,2,Beginner,3,3,2,8,7,3,2,1,0,0,0,1,1,2,wom 1,1,5,1,0,0,0,0,2
1,interactive_lower_bias_percep,0,0,0,0,0,0,0,0,1,0,0,0,40,0,Man/Male (Cis or Trans),9,Prefer not to answer,1,"$0 - $49,999",8,Other,2,Beginner,3,3,2,8,7,5,4,1,0,0,0,1,1,2,wom 2,1,5,1,0,0,0,0,3
