Q1,Intro Test 1 Q1,Intro Test 2 Q1,Intro Test 2 Q2,Intro Test 3 Q1,Intro Test 3 Q2,Intro Test 3 Q3,Intro Test 4 Q1,Intro Test 4 Q2,Intro Test 4 Q3,Intro Test 4 Q4,wom 1 app,wom 1 power,wom 1 no,wom 1 yes,wom 1 trust you_1,wom 1 trust other_1,wom 1 agree_1,wom 1 agree_2,wom 1 agree_3,wom 1 agree_4,wom 1 agree_5,wom 1 agree_6,wom 1 agree_7,wom 1 agree_8,wom 1 agree_9,wom 1 agree_10,reg vis most,reg vis least,wom 2 app,wom 2 power,wom 2 no,wom 2 yes,wom 2 trust you_1,wom 2 trust other_1,wom 2 agree_1,wom 2 agree_2,wom 2 agree_3,wom 2 agree_4,wom 2 agree_5,wom 2 agree_6,wom 2 agree_7,wom 2 agree_8,wom 2 agree_9,wom 2 agree_10,wom 3 app,wom 3 power,wom 3 no,wom 3 yes,wom 3 trust you_1,wom 3 trust other_1,wom 3 agree_1,wom 3 agree_2,wom 3 agree_3,wom 3 agree_4,wom 3 agree_5,wom 3 agree_6,wom 3 agree_7,wom 3 agree_8,wom 3 agree_9,wom 3 agree_10,man 1 app,man 1 power,man 1 no,man 1 yes,man 1 trust you_1,man 1 trust other_1,man 1 agree_1,man 1 agree_2,man 1 agree_3,man 1 agree_4,man 1 agree_5,man 1 agree_6,man 1 agree_7,man 1 agree_8,man 1 agree_9,man 1 agree_10,man 2 app,man 2 power,man 2 no,man 2 yes,man 2 trust you_1,man 2 trust other_1,man 2 agree_1,man 2 agree_2,man 2 agree_3,man 2 agree_4,man 2 agree_5,man 2 agree_6,man 2 agree_7,man 2 agree_8,man 2 agree_9,man 2 agree_10,man 3 app,man 3 power,man 3 no,man 3 yes,man 3 trust you_1,man 3 trust other_1,man 3 agree_1,man 3 agree_2,man 3 agree_3,man 3 agree_4,man 3 agree_5,man 3 agree_6,man 3 agree_7,man 3 agree_8,man 3 agree_9,man 3 agree_10,percep decisions_1,percep output_1,percep other_1,fairness app a,fairness app b,fairness trust you_1,fairness trust other_1,fairness agree_1,fairness agree_2,fairness agree_3,fairness agree_4,fairness agree_5,fairness agree_6,fairness agree_7,fairness agree_8,fairness agree_9,fairness agree_10,discrimination yn,discrimination fact,fairness vis most,fairness vis least,age,gender,gender_4_TEXT,race,income,school,ml prof,FL_16_DO
Consent Form for Participation in a Research Study,"In the example below, what will the model predict?","As another review, by looking at the explanation image, please select the value for precipitation input into the model:","By looking at the explanation image, please select the value for wind speed input into the model:","As a review, by looking at the explanation image, which factor(s) are pushing the model toward predicting 'YES'?","By looking at the explanation image, which factor(s) are pushing the model toward predicting 'NO'?",Which factor has the greatest predictive power?,"As a final review, what does the following model recommend you do?","By looking at the explanation image, please select the value for temperature input into the model:","By looking at the explanation image, which factor(s) are pushing the model toward predicting 'NO?",Which factor has the greatest predictive power?,Will this model approve the loan for this person?,What feature was had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.","When answering the previous questions about the given explanation, which design aspects of the visualization did you find most useful?","When answering the previous questions about the given explanation, which design aspects of the visualizations did you find least useful?",Will this model approve the loan for this person?,Which feature was had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",Will this model approve the loan for this person?,Which feature had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",Will this model approve the loan for this person?,Which feature had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",Will this model approve the loan for this person?,Which feature had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",Will this model approve the loan for this person?,What feature had the most predictive power for this decision?,Which factor(s) are pushing the model toward predicting 'NO'?,Which factor(s) are pushing the model toward predicting 'YES'?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from the person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",How well did you understand the way this model makes decisions?,How easy was it for you to understand the model output?,How likely would you use this visualization to explain models to other people?,Will this model approve the loan for Person A?,Will this model approve the loan for Person B?,"On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for you? - Level of Trust","On a scale from 1 to 6, how much do you trust the model to approve or deny a loan for other people in general? - Level of Trust",Please indicate whether you agree with the below statements. - This model uses all of the features that it should use when making this decision.,Please indicate whether you agree with the below statements. - This model does not use any unnecessary features when making this decision.,Please indicate whether you agree with the below statements. - I trust the data this model was trained on.,Please indicate whether you agree with the below statements. - Computer models can be trusted to make human decisions.,Please indicate whether you agree with the below statements. - This model is accurate.,Please indicate whether you agree with the below statements. - This model is fair.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am similar to a person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because I am different from a person described in this question.,Please indicate whether you agree with the below statements. - This model would probably give me a loan because of previous decisions it has made.,"Please indicate whether you agree with the below statements. - This model probably would not give me a loan, and this would be the correct decision.",Do you think this model includes potentially discriminating factors?,"If yes, which ones?","When answering the previous questions about fairness, which design aspects of the given visualizations did you find most useful?","When answering the previous questions about fairness, which design aspects of the given visualizations did you find least useful?",What is your age? Please enter a number.,What is your gender? - Selected Choice,What is your gender? - My Gender is Not Listed Above: (Open Text Box) - Text,What is your race/ethnicity?,How much is your yearly income?,What is the highest level of school you have completed or the highest degree you have received?,What is your familiarity with machine learning models?,FL_16 - Block Randomizer - Display Order
"{""ImportId"":""QID1317457903""}","{""ImportId"":""QID118""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID121""}","{""ImportId"":""QID125""}","{""ImportId"":""QID129""}","{""ImportId"":""QID293""}","{""ImportId"":""QID299""}","{""ImportId"":""QID274""}","{""ImportId"":""QID286""}","{""ImportId"":""QID146""}","{""ImportId"":""QID148""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID265_1""}","{""ImportId"":""QID346_1""}","{""ImportId"":""QID347_1""}","{""ImportId"":""QID347_10""}","{""ImportId"":""QID347_4""}","{""ImportId"":""QID347_5""}","{""ImportId"":""QID347_7""}","{""ImportId"":""QID347_9""}","{""ImportId"":""QID347_11""}","{""ImportId"":""QID347_12""}","{""ImportId"":""QID347_13""}","{""ImportId"":""QID347_14""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224_TEXT""}","{""ImportId"":""QID155""}","{""ImportId"":""QID158""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID264_1""}","{""ImportId"":""QID354_1""}","{""ImportId"":""QID359_1""}","{""ImportId"":""QID359_10""}","{""ImportId"":""QID359_4""}","{""ImportId"":""QID359_5""}","{""ImportId"":""QID359_7""}","{""ImportId"":""QID359_9""}","{""ImportId"":""QID359_11""}","{""ImportId"":""QID359_12""}","{""ImportId"":""QID359_13""}","{""ImportId"":""QID359_14""}","{""ImportId"":""QID164""}","{""ImportId"":""QID167""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID263_1""}","{""ImportId"":""QID355_1""}","{""ImportId"":""QID360_1""}","{""ImportId"":""QID360_10""}","{""ImportId"":""QID360_4""}","{""ImportId"":""QID360_5""}","{""ImportId"":""QID360_7""}","{""ImportId"":""QID360_9""}","{""ImportId"":""QID360_11""}","{""ImportId"":""QID360_12""}","{""ImportId"":""QID360_13""}","{""ImportId"":""QID360_14""}","{""ImportId"":""QID173""}","{""ImportId"":""QID176""}","{""ImportId"":""QID178""}","{""ImportId"":""QID179""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID356_1""}","{""ImportId"":""QID361_1""}","{""ImportId"":""QID361_10""}","{""ImportId"":""QID361_4""}","{""ImportId"":""QID361_5""}","{""ImportId"":""QID361_7""}","{""ImportId"":""QID361_9""}","{""ImportId"":""QID361_11""}","{""ImportId"":""QID361_12""}","{""ImportId"":""QID361_13""}","{""ImportId"":""QID361_14""}","{""ImportId"":""QID182""}","{""ImportId"":""QID185""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID267_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID362_1""}","{""ImportId"":""QID362_10""}","{""ImportId"":""QID362_4""}","{""ImportId"":""QID362_5""}","{""ImportId"":""QID362_7""}","{""ImportId"":""QID362_9""}","{""ImportId"":""QID362_11""}","{""ImportId"":""QID362_12""}","{""ImportId"":""QID362_13""}","{""ImportId"":""QID362_14""}","{""ImportId"":""QID200""}","{""ImportId"":""QID203""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID358_1""}","{""ImportId"":""QID363_1""}","{""ImportId"":""QID363_10""}","{""ImportId"":""QID363_4""}","{""ImportId"":""QID363_5""}","{""ImportId"":""QID363_7""}","{""ImportId"":""QID363_9""}","{""ImportId"":""QID363_11""}","{""ImportId"":""QID363_12""}","{""ImportId"":""QID363_13""}","{""ImportId"":""QID363_14""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID214_1""}","{""ImportId"":""QID215_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID243""}","{""ImportId"":""QID364_1""}","{""ImportId"":""QID365_1""}","{""ImportId"":""QID366_1""}","{""ImportId"":""QID366_10""}","{""ImportId"":""QID366_4""}","{""ImportId"":""QID366_5""}","{""ImportId"":""QID366_7""}","{""ImportId"":""QID366_9""}","{""ImportId"":""QID366_11""}","{""ImportId"":""QID366_12""}","{""ImportId"":""QID366_13""}","{""ImportId"":""QID366_14""}","{""ImportId"":""QID217""}","{""ImportId"":""QID209""}","{""ImportId"":""QID227_TEXT""}","{""ImportId"":""QID228_TEXT""}","{""ImportId"":""QID1317535758_TEXT""}","{""ImportId"":""QID1317535759""}","{""ImportId"":""QID1317535759_4_TEXT""}","{""ImportId"":""QID1317535760""}","{""ImportId"":""QID1317535761""}","{""ImportId"":""QID1317535762""}","{""ImportId"":""QID306""}","{""ImportId"":""FL_16_DO""}"
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Temperature,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,The prediction bars,the no vs yes graphic was confusing,NO,Hours Worked Per Week,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,4,2,1,NO,YES,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Education,Sex",the prediction bars,the no vs yes graph,25,Woman/Female (Cis or Trans),,Hispanic/Latinx,"$0 - $49,999",Associate degree in college (2-year),No familiarity,Woman2|Man3|Woman1|Man2|Man1|Woman3
I agree,"YES, you should wear a coat",hail,,"Temperature,Wind",Wind,Wind,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex",Age,5,5,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,The prediction and no and yes visualization. ,The table with feature and value seems supplemental to the other two. ,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,4,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",5,5,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",5,4,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",4,5,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",5,4,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,6,4,2,NO,YES,5,3,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,YES,"Education,Sex",The differing colors on the feature and value table and the no and yes visualization. ,The differing decimals when they are exactly the same besides sex.,22,Woman/Female (Cis or Trans),,White,"$50,000 - $99,999",Bachelor's degree in college (4-year),Beginner,Man2|Man1|Woman2|Man3|Woman3|Woman1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Color,Numerical values,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,NO,Age,Age,"Education,Sex,Occupation",4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",4,5,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,5,5,5,NO,YES,5,4,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,YES,"Hours Per Week,Sex",Ranking of features,Numerical values,42,Man/Male (Cis or Trans),,White,"$0 - $49,999",Bachelor's degree in college (4-year),Beginner,Man1|Woman1|Man3|Woman3|Man2|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,1,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,"The color-coding and the length of the bars. The prediction numbers also helped, I suppose.",The feature/value chart.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,3,5,3,NO,YES,1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Sex,The prediction numbers and the color-coding (again).,The length of the bars mattered less in this instance.,31,Unsure/Questioning,,White,"$0 - $49,999",Bachelor's degree in college (4-year),Beginner,Woman3|Man1|Woman2|Man3|Woman1|Man2
I agree,"YES, you should wear a coat",none,10 mph,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,5,2,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,The bars giving weight to each metric,The feature | value chart,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",3,4,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",3,3,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,NO,Age,"Hours Worked Per Week,Age","Education,Sex,Occupation",6,1,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,NO,Education,Education,"Hours Worked Per Week,Sex",5,6,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,4,4,NO,YES,5,3,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,,The weighted graph,The feature and value table,26,Man/Male (Cis or Trans),,White,"$100,000+",Some college but no degree,No familiarity,Woman2|Woman1|Woman3|Man1|Man2|Man3
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Temperature,NO,Sex,"Hours Worked Per Week,Sex,Occupation",Age,4,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Color and predication bar.,The yes/no bar graphs,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",5,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",4,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",4,3,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",4,3,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",5,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,4,5,5,NO,YES,4,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,YES,Sex,Color and Yes/No prediction bar graph.,N/A,36,Man/Male (Cis or Trans),,Black/African American,"$50,000 - $99,999",Bachelor's degree in college (4-year),Beginner,Woman3|Man2|Man1|Woman1|Man3|Woman2
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"NO, do not wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,I find the length of the bars to be the most useful.,The actual numbers on the values.,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Education,Age","Education,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,"Education,Age","Hours Worked Per Week,Sex,Occupation",3,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,5,3,NO,YES,2,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,"Age,Education,Sex","The ""value"" for sex, age, and education.",the values for occupation and hours,32,Woman/Female (Cis or Trans),,White,"$50,000 - $99,999",Bachelor's degree in college (4-year),Beginner,Woman1|Woman2|Woman3|Man2|Man3|Man1
I agree,"YES, you should wear a coat",hail,,"Temperature,Precipitation",,Temperature,"YES, you should wear a coat",70,"Temperature,Precipitation",Wind,NO,Sex,"Education,Hours Worked Per Week,Sex,Occupation",Age,1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,middle,left,NO,Age,"Hours Worked Per Week,Age,Sex","Education,Occupation",1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,Sex,"Education,Hours Worked Per Week,Age,Occupation",1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Age,"Hours Worked Per Week,Age","Sex,Occupation",2,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Education,None of these,"Education,Hours Worked Per Week,Age,Sex,Occupation",1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,NO,Education,Education,"Hours Worked Per Week,Sex",2,3,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,5,5,5,NO,YES,1,2,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,YES,Sex,middle,left,22,Woman/Female (Cis or Trans),,White,"$0 - $49,999",Bachelor's degree in college (4-year),Beginner,Man1|Man3|Woman3|Woman2|Woman1|Man2
