Pid,Vis_Type,cp,cp_explicit,eli5,lime,shap,forceshap,anchors,interactive,interactive_lower_bias_percep,interactive_higher_bias_percep,interactive_fair,initial_visualizations,Age,Age_Below_37,Gender,Education_Num,Education,Income_Num,Income,Race/Ethnicity_Num,Race/Ethnicity,Familiarity_Num,Familiarity,I_understand_model_decisions,I_understand_model_output,I_recommend_other_people,qualitative_model_perception,comprehension,trust,likert only trust,discriminate Age,discriminate Hours per week,discriminate Occupation,discriminate Education,discriminate Sex,discriminatory,bias operational,person,correct output,correct pushing,correct power,computers can make human decisions,this model will or shouldnt give me a loan,this model will give me a loan,this model shouldnt give me a loan,order seen
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,2,11,9,1,0,0,0,1,1,3,side by side,2,0,0,0,1,1,0,6
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,6,6,1,0,0,0,1,1,2,wom 1,1,5,1,0,1,1,0,3
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,6,6,1,0,0,0,1,1,2,wom 2,1,5,1,0,1,1,0,0
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,8,7,1,0,0,0,1,1,2,wom 3,1,5,1,0,1,1,0,1
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,4,4,1,0,0,0,1,1,2,man 1,1,5,1,0,1,1,0,5
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,6,6,1,0,0,0,1,1,2,man 2,1,5,1,0,1,1,0,2
0,shap,0,0,0,0,1,0,0,0,0,0,0,1,20,1,Man/Male (Cis or Trans),2,High school graduate (high school diploma or equivalent including GED),1,"$0 - $49,999",4,Asian,1,No familiarity,5,6,6,17,7,4,4,1,0,0,0,1,1,2,man 3,1,5,1,0,0,0,0,4
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,2,5,4,1,0,0,1,1,1,4,side by side,2,0,0,1,1,1,0,6
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,4,3,1,0,0,1,1,1,3,wom 1,1,5,1,1,1,1,0,4
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,3,2,1,0,0,1,1,1,3,wom 2,1,5,1,1,0,0,0,1
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,3,2,1,0,0,1,1,1,3,wom 3,1,5,1,1,1,1,0,3
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,5,4,1,0,0,1,1,1,3,man 1,1,5,1,1,1,1,0,5
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,5,4,1,0,0,1,1,1,3,man 2,1,5,1,1,1,1,0,2
1,shap,0,0,0,0,1,0,0,0,0,0,0,1,33,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,2,Beginner,4,5,4,13,7,4,3,1,0,0,1,1,1,2,man 3,1,5,1,1,0,0,0,0
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,2,2,2,1,0,0,0,1,1,3,side by side,2,0,0,0,0,0,0,6
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,6,2,2,1,0,0,0,1,1,3,wom 1,1,4,1,0,0,0,0,2
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,7,2,2,1,0,0,0,1,1,3,wom 2,1,5,1,0,0,0,0,5
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,7,2,2,1,0,0,0,1,1,2,wom 3,1,5,1,0,0,0,0,3
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,5,2,2,1,0,0,0,1,1,2,man 1,0,4,1,0,0,0,0,4
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,7,4,4,1,0,0,0,1,1,2,man 2,1,5,1,0,0,0,0,1
2,shap,0,0,0,0,1,0,0,0,0,0,0,1,28,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),1,"$0 - $49,999",1,White,3,Intermediate,4,6,6,16,5,4,4,1,0,0,0,1,1,3,man 3,1,3,1,0,0,0,0,0
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,2,2,2,1,1,1,0,1,1,4,side by side,2,0,0,0,0,0,0,6
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,3,3,1,1,1,0,1,1,3,wom 1,1,5,1,0,0,0,0,1
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,2,2,1,1,1,0,1,1,3,wom 2,1,5,1,0,0,0,0,5
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,6,6,1,1,1,0,1,1,2,wom 3,1,5,1,0,0,0,0,0
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,2,2,1,1,1,0,1,1,3,man 1,1,5,1,0,0,0,0,3
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,2,2,1,1,1,0,1,1,3,man 2,1,5,1,0,0,0,0,2
3,shap,0,0,0,0,1,0,0,0,0,0,0,1,22,1,Woman/Female (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",3,Hispanic/Latinx,2,Beginner,2,3,1,6,7,2,2,1,1,1,0,1,1,3,man 3,1,5,1,0,0,0,0,4
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,2,7,7,0,0,0,0,1,1,3,side by side,2,0,0,0,0,0,0,6
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,7,2,2,0,0,0,0,1,1,2,wom 1,1,5,1,0,0,0,0,4
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,7,6,6,0,0,0,0,1,1,3,wom 2,1,5,1,0,0,0,0,3
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,7,9,9,0,0,0,0,1,1,3,wom 3,1,5,1,0,1,1,0,2
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,7,6,6,0,0,0,0,1,1,2,man 1,1,5,1,0,0,0,0,1
4,shap,0,0,0,0,1,0,0,0,0,0,0,1,35,1,Man/Male (Cis or Trans),5,Bachelor's degree in college (4-year),2,"$50,000 - $99,999",1,White,1,No familiarity,3,4,5,12,6,9,7,0,0,0,0,1,1,0,man 2,1,4,1,1,1,1,0,5
